id;name;x;y;province
178;Uplyme;-1180193.687219106126577;5899587.047430910170078;Britannia
179;Catterick;-957364.526951453881338;6263494.053421281278133;Britannia
180;Newport;-915620.284460749942809;6175673.74866196885705;Britannia
181;Harpham;-886593.022880368866026;6200321.603118283674121;Britannia
182;Hengistbury Head;-1096640.025176839437336;5869277.782566813752055;Britannia
183;South Shields;-921366.793729344382882;6326136.952368708327413;Britannia
184;Glossop;-1009274.436604064889252;6166462.76785684004426;Britannia
185;Birrens;-1030500.648666364373639;6374268.343127006664872;Caledonia
186;Ilkley;-985532.625274701742455;6218770.893486743792892;Britannia
187;Watercrook;-1029688.031065489398316;6282621.226500404067338;Britannia
188;Holt;-1086237.24057004856877;6150713.669172605499625;Britannia
189;Housesteads;-976846.213453810429201;6348805.481524466536939;Britannia
190;Neath;-1201792.808428251650184;6019896.775031050667167;Britannia
191;Middlewich;-1052533.520093155326322;6153070.310248331166804;Britannia
192;Lanark;-1040632.555377065436915;6449417.569675926119089;Caledonia
193;Castlecary;-1036998.423330512829125;6488915.350810497999191;Caledonia
194;Usk;-1139480.669928049203008;6003427.668650511652231;Britannia
195;Bar Hill;-1044916.546039426233619;6488872.321700771339238;Caledonia
196;Bishopton;-1073427.195528734941036;6492882.2475271737203;Caledonia
197;Old Kilpatrick;-1069729.526587579166517;6493477.961774624884129;Caledonia
198;Fishbourne;-1026850.052861702861264;5861498.961602764204144;Britannia
199;Chesterford;-917531.35269673471339;5975391.627372762188315;Britannia
200;Staines;-987115.655802221503109;5921009.41182835586369;Britannia
201;West Woodburn;-960852.201605492969975;6361338.159592331387103;Britannia
202;Ilchester;-1150134.759992488427088;5922586.448182227090001;Britannia
203;Gelligaer;-1164662.10751943429932;6007622.688855320215225;Britannia
204;Eye;-845746.474589487304911;5984035.593076696619391;Britannia
205;Branston;-924356.139068806776777;6110662.249587287195027;Britannia
206;Strood;-919267.93331302748993;5894683.84618301410228;Britannia
207;Beckfoot;-1060641.652767175110057;6301951.667290605604649;Britannia
208;Gilsland;-992568.326729723950848;6350349.147242050617933;Britannia
209;Corfe Mullen;-1113882.998124200385064;5883315.142669281922281;Britannia
210;Godmanchester;-933852.412454133154824;6010121.220378428697586;Britannia
211;Fingringhoe;-875490.558938111411408;5935360.103057402186096;Britannia
212;Caersws;-1143533.746206889394671;6104126.71390949934721;Britannia
213;Sea Mills;-1130507.592831829329953;5973691.453168091364205;Britannia
214;Brockworth;-1084314.706744013354182;6002442.837170425802469;Britannia
215;Stoke Prior;-1107046.126506362576038;6052641.295859121717513;Britannia
216;Bury Saint Edmunds;-876898.900914993602782;5985143.557562980800867;Britannia
217;Dover;-876201.3191463930998;5854726.912952797487378;Britannia
218;Sleaford;-926819.171062758890912;6087532.309805125929415;Britannia
219;Croy;-1043368.484177113510668;6487283.014941616915166;Caledonia
220;Sedlescombe;-931835.020853683818132;5842937.636695010587573;Britannia
221;Chedworth;-1069291.350174142979085;5991375.116137322038412;Britannia
222;Witham;-897411.487375576514751;5935779.117680812254548;Britannia
223;Maryport;-1061609.054793371353298;6341000.579951790161431;Britannia
224;Sturry;-880123.222495346795768;5871592.047030325047672;Britannia
225;Denver;-888395.9562677226495;6028114.352764118462801;Britannia
226;March;-909430.802016664296389;6030483.286647393368185;Britannia
227;Rudston;-883811.910595587920398;6205414.791403805837035;Britannia
228;Exning;-900935.128998377127573;5994217.266940713860095;Britannia
229;Castor;-936552.06205524248071;6040791.908535378053784;Britannia
