id;lat;long;type;site;code
14005;9.06379699999999922;49.9758330000000015;Dressel 20;Stockstadt am Main;FALBLIC
17604;2.00799400000000006;41.3961449999999971;Dressel 2-4 Catalan;Sant Vicenç dels Horts;PH
28793;12.483333;41.8999999999999986;Dressel 20;Roma;CONSFC
14437;8.68416700000000041;50.1155199999999965;Dressel 20;Frankfurt am Main;QIIALFS
518;12.483333;41.8999999999999986;Dressel 20;Roma;FIGEDPPAEF
17155;-3.76666699999999999;56;Dressel 20;Falkirk;Q
10239;4.94285100000000011;43.3835430000000031;Dressel 20;Golfe de Fos;PRIMIPRM
39199;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;APOLONI
12574;4.14196000000000009;39.9345629999999971;Pascual 1;Alayor;MCN
1570;12.483333;41.8999999999999986;Dressel 20;Roma;BVRB
26990;3.76150999999999991;50.8843639999999979;Dressel 20;Velzeke-Ruddershove;PHIILEROTIS
36486;2.00799400000000006;41.3961449999999971;Pascual 1;Sant Vicenç dels Horts;SYNE
10110;4.94285100000000011;43.3835430000000031;Dressel 20;Golfe de Fos;CFO
3267;12.483333;41.8999999999999986;Dressel 20;Roma;IIMINACRETCALIIMINACRETCN
35589;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;THEARION
35836;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;CERDO
33484;12.483333;41.8999999999999986;Africana 2D Grande;Roma;AEMCAEH
260;12.483333;41.8999999999999986;Dressel 20;Roma;FCAERARI
35280;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;LVCAON
3050;12.483333;41.8999999999999986;Dressel 20;Roma;MLFCT
8850;-5.55703200000000042;34.0736970000000028;Dressel 20;Volubilis;MEE
36752;11.5500000000000007;45.5499999999999972;Dressel 6A;Vicenza;BIDIENICLAR
36347;2.04079100000000002;41.3426469999999995;Pascual 1;Sant Boi de Llobregat;FE
2711;12.483333;41.8999999999999986;Dressel 20;Roma;MILONF
571;12.483333;41.8999999999999986;Dressel 20;Roma;PMOCVFIGEDO
4635;11.0436110000000003;35.394444;Africana;Salakta;O
6479;29.9552660000000017;31.2156449999999985;Dressel 20;Alexandria;QCCC
39798;12.483333;41.8999999999999986;Dressel 2-4 Catalan;Roma;CA
12943;-5.52751000000000037;37.6589609999999979;Dressel 20;Lora del Río;CONSFC
9549;-5.6669419999999997;37.6150579999999977;Dressel 20;Alcolea del Río;IIIMINICIOR
1422;12.483333;41.8999999999999986;Dressel 20;Roma;PARVA
40492;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;MENECRATES
39926;12.483333;41.8999999999999986;Dressel 6A;Roma;SAFPIC
503;12.483333;41.8999999999999986;Dressel 20;Roma;FIGEDOPPAEFVSCIANI
40406;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;LIBON
17018;-2.6666669999999999;53.7333330000000018;Dressel 20;Walton le Dale;FVCRM
3508;12.483333;41.8999999999999986;Dressel 20;Roma;SNR
36186;13.5;43.6333330000000004;Lamboglia 2;Ancona;PHILOC
2145;12.483333;41.8999999999999986;Dressel 20;Roma;LFCDP
1568;12.483333;41.8999999999999986;Dressel 20;Roma;BVRB
39300;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;APOLLONIMA
27491;8.48254999999999981;49.9213939999999994;Augst 17;Groß-Gerau;COM
37252;17.8500000000000014;40.6833329999999975;Brindisian amphora;Canale Giancola;APOLONI
18492;6.21203000000000038;42.9966879999999989;Dolium;Île de Porquerolles;TERTIPAPI
12312;-5.08259900000000009;37.5422030000000007;Dressel 20;Écija;MY
20385;4.94900099999999998;47.1368289999999988;Dressel 20;Nuits-Saint-Georges;TAAPA
38405;17.9333330000000011;40.6333330000000004;Brindisian amphora;Brindisi;APEICAE
27876;8.16666700000000034;49.8333330000000032;Dressel 20;Rheinhessen;SCALCELS
24226;18.3833330000000004;43.8500000000000014;Dressel 2-4;Sarajevo;COSSII
