id;name;x;y;province
137;York;-936866.068451985;6208531.92561426;Britannia
138;Toulon;-725840.728890798;4885321.68429482;Narbonensis
139;Dieburg;-371731.327541462;5598432.18861759;Germania Superior
140;Saint-Ulrich;-542610.426431318;5365287.31030252;Germania Superior
141;Minorca;-954618.972117151;4568736.00873962;Tarraconensis
142;Alise-Sainte-Reine;-741107.494160932;5398662.61806195;Lugdunensis
143;Friedberg;49114.082807828;6267137.99003515;
144;Sainte-Colombe;-759822.990671813;5169539.62430012;Narbonensis
145;Rivesaltes;-984674.336095553;4897531.36459068;Narbonensis
146;Pula;-540365.053431677;4387016.36972094;Corsica et Sardinia
147;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;Narbonensis
148;Barcelona;-1076901.0270608;4757664.54939025;Tarraconensis
149;Ilkley;-985532.625258623;6218770.89360818;Britannia
150;Bled Takourart (Tocolosida);-1987266.40145891;4103212.23414875;Mauretania Tingitana
151;Sierentz;-516151.590048429;5367931.28285493;Germania Superior
152;Saintes;-1180767.57650641;5298520.28691293;Aquitania
153;Öhringen;-336411.74729156;5513460.35492245;Germania Superior
154;Warrington;-1055790.16507326;6178472.98020371;Britannia
155;Falkirk;-1025329.69888547;6486477.8300989;Caledonia
156;Le Mas-d'Agenais;-1154670.15857508;5132225.83108613;Aquitania
157;Bliesbrück;-506759.197045804;5532866.79932232;Belgica
158;Elne;-980703.920837425;4876893.3217651;Narbonensis
159;Arras;-793480.884151889;5731757.25666986;Belgica
160;Dover;-876201.319132549;5854726.91307442;Britannia
161;Eguisheim;-519537.808018849;5412448.94421802;Germania Superior
162;Fishbourne;-1026850.05284645;5861498.96172383;Britannia
163;Poitiers;-1080805.8615119;5370433.84179591;Aquitania
164;Housesteads;-976846.213437393;6348805.48164578;Britannia
165;Hüfingen;-433668.702820999;5384472.28585033;Germania Superior
166;Gigean;-969546.076774815;4924346.80438353;Narbonensis
167;Ruoms;-825421.304383794;5059133.82231147;Narbonensis
168;Solothurn;-520328.915902694;5317020.15359939;Germania Superior
169;Straubing;-117467.703923854;5448576.67997406;Raetia
170;Orange;-795487.858362067;5016570.86350169;Narbonensis
171;Baden;-455944.431237297;5336974.14277916;Germania Superior
172;Sarrebourg;-523914.610309244;5492439.05677688;Germania Superior
173;Rheinzabern;-427079.451448445;5518958.42861671;Germania Superior
174;Gravesend;-926784.656896033;5902828.07833626;Britannia
175;Hofheim;-407174.140727142;5577062.33258802;Germania Superior
176;Metz;-579922.034368355;5547021.50981508;Belgica
177;La Bastide-Pradines;-939900.018997317;5031400.97647373;Narbonensis
178;Chesters;-965493.442812641;6344810.31896742;Britannia
179;Ambleside;-1039446.1785282;6298296.57100686;Britannia
180;Alphen aan den Rijn;-614793.408074651;5903117.18665806;Germania Inferior
181;Beauvais;-867317.793329463;5650027.83215514;Belgica
182;Canterbury;-882929.136244843;5870413.34334731;Britannia
183;Altkalkar;-513590.307206741;5834588.32655777;Germania Inferior
184;Sidi Ali Ben Ahmed;-2073428.29999475;4156751.37290906;Mauretania Tingitana
185;Rommerskirchen;-500928.527986177;5751822.42307916;Germania Inferior
186;Ubbergen;-536768.176069463;5851260.41641472;Germania Inferior
187;Penrith;-1015782.25942203;6318163.80116386;Britannia
188;Saint Paulien;-850966.508531957;5143918.20501282;Aquitania
189;Walheim;-365539.632065282;5496876.24993795;Germania Superior
190;Chicester;-1025696.772362;5861141.41927802;Britannia
191;Neuhausen auf den Fildern;-362074.28664435;5458637.98284481;Germania Superior
192;Evreux;-946208.292748295;5622721.84437026;Lugdunensis
193;Alexandria;1354610.4134671;3488290.83345828;Aegyptus
194;Forêt de la Compiègne;-811687.478851952;5628062.78873794;Belgica
195;Regensburg;-148741.126898927;5469399.21845282;Raetia
196;Budapest;352026.792976894;5268160.78540421;Pannonia Inferior
197;Bad Ems;-443697.638044015;5660520.34522908;Germania Superior
198;Neuenheim;-392023.899733558;5546936.83085167;Germania Superior
199;Stanwix;-1018514.97834214;6349564.10679358;Britannia
200;Xanten;-503646.03044109;5823979.8486064;Germania Inferior
201;Kösching;-196644.016293483;5450409.25544193;Raetia
202;Fishtoft;-899454.913005337;6075088.6643509;Britannia
203;Dalswinton;-1053825.80265992;6393156.00011605;Caledonia
204;Marseillan;-916860.215121525;4951101.23155278;Narbonensis
205;Großkrotzenburg;-358764.431168034;5617323.66904789;Germania Superior
206;Bregenz;-345522.867144488;5322218.32288708;Raetia
207;El Saler;-1344904.34582257;4582970.39284763;Tarraconensis
208;Auerberg;-269377.745370387;5337935.27388281;Raetia
209;Port-Vendres;-971780.259372865;4865280.20794199;Narbonensis
210;Céret;-1001657.59142513;4868400.18533;Narbonensis
211;Unterkirchberg;-314326.9227589;5412727.56038184;Raetia
212;Winterton;-916940.830738789;6164127.67792221;Britannia
213;Dieulouard;-593843.86519669;5518288.20836012;Belgica
214;Neuss;-497865.34063675;5769910.80224286;Germania Inferior
215;Kirkton;-1052099.29952862;6388424.84303726;Caledonia
216;Ascó;-1217966.54899359;4765527.49966152;Tarraconensis
217;Montmaurin;-1155250.02698365;4991705.38281305;Aquitania
218;Brive;-1227631.31191252;5521874.51535724;Lugdunensis
219;Lagos;-2165550.72382762;4545143.42314275;Lusitania
220;Manta Rota;-2057109.16296306;4517891.84254934;Lusitania
221;Périgueux;-1092718.48438558;5207577.15161197;Aquitania
222;Bishopton;-1073427.19551087;6492882.24764783;Caledonia
223;Perpignan;-984457.85020137;4888921.06108167;Narbonensis
224;Iles de Lerins (baie de Cannes);-631842.584338419;4918167.52097596;Narbonensis
225;Famars;-740679.454900334;5721666.72774284;Belgica
226;Rodez;-968842.709288324;5079081.53167762;Aquitania
227;Old Kilpatrick;-1069729.52656975;6493477.9618953;Caledonia
228;Rezé;-1204137.4566985;5477596.45174869;Aquitania
229;Chesterfield;-983962.241745958;6137892.36808725;Britannia
230;Harnes;-780423.926131763;5746554.2887799;Belgica
231;Beckfoot;-1060641.65275008;6301951.66741167;Britannia
232;Bar Hill;-1044916.54602186;6488872.32182155;Caledonia
233;Koenigshoffen;-479594.550916086;5466862.82371012;Germania Superior
234;Kelvedon;-890171.35809129;5939601.65731732;Britannia
235;Liberchies;-734486.63726866;5753105.98560175;Belgica
236;Denia;-1321124.4854771;4512690.98838483;Tarraconensis
237;Bourges;-909689.839236849;5384894.42118109;Aquitania
238;Montayral;-1091649.27841778;5123494.37625198;Aquitania
239;Millau;-934727.098543339;5041594.05908084;Narbonensis
240;Quercy;-1077077.99726909;5093214.95879788;Aquitania
241;Pîtres;-932523.61026059;5654070.53353283;Lugdunensis
242;Girona;-1008178.80239996;4810765.99854539;Tarraconensis
