id;name;x;y;province
161;Mont-Beuvray;-790246.352069834;5338595.2411637;Lugdunensis
162;Auerberg;-269377.745370387;5337935.27388281;Raetia
163;Vichy;-856720.158239029;5260670.85320297;Aquitania
164;Tours;-1028333.68964916;5452373.85775663;Lugdunensis
165;Großkrotzenburg;-358764.431168034;5617323.66904789;Germania Superior
166;Murviel-lès-Montpellier;-893814.920311246;4975245.66650297;Narbonensis
167;Alphen aan den Rijn;-614793.408074651;5903117.18665806;Germania Inferior
168;Mâcon;-744172.146004683;5257593.09609404;Lugdunensis
169;Chesters;-965493.442812641;6344810.31896742;Britannia
170;Rouen;-1002546.47610761;5697606.17061451;Lugdunensis
171;Ardoch house;-1021039.95093317;6515488.31588027;Caledonia
172;South Shields;-921366.793713559;6326136.95249025;Britannia
173;Les Rues des Vignes;-766488.604953893;5702105.76014902;Belgica
174;Grostenquin;-541668.995894048;5523851.24404331;Belgica
175;Le Crotoy;-877144.948572708;5744947.37407298;Belgica
176;Gloucester;-1090534.60998064;6002523.13726591;Britannia
177;Ehl;-490040.892308821;5444743.62155062;Germania Superior
178;Sardegna;-575458.086551936;4490908.56801042;Corsica et Sardinia
179;Watercrook;-1029688.03104876;6282621.22662161;Britannia
180;Caudebec-en-Caux;-961973.632189123;5686861.24332677;Lugdunensis
181;Hengistbury Head;-1096640.02516094;5869277.78268762;Britannia
182;Cap de Creus;-958638.936518974;4839186.48105521;Tarraconensis
183;Arlempdes;-848930.642583671;5112046.17462268;Aquitania
184;Lansargues;-865577.77568548;4974516.16531331;Narbonensis
185;Holt;-1086237.24055323;6150713.66929368;Britannia
186;Portiragnes;-933886.101316366;4948792.22878055;Narbonensis
187;Warrington;-1055790.16507326;6178472.98020371;Britannia
188;Moers;-495865.762747705;5798823.12097574;Germania Inferior
189;Rheinzabern;-427079.451448445;5518958.42861671;Germania Superior
190;Agen;-1128274.23127231;5100334.89927791;Aquitania
191;Heptonstall;-1004487.39182511;6205107.73228169;Britannia
192;Montbazin;-899500.940532321;4965891.48299036;Narbonensis
193;Altkalkar;-513590.307206741;5834588.32655777;Germania Inferior
194;Ptuj;105803.100726842;5153670.10949637;Noricum
195;Sauvian;-940135.621330074;4948799.88518645;Narbonensis
196;Peyrestortes;-986684.068986892;4896265.83630481;Narbonensis
197;Morienval;-811007.874948412;5619769.97812552;Belgica
198;Béziers;-949394.948841057;4975004.57732441;Narbonensis
199;Westmill;-935939.492316312;5963071.40251021;Britannia
200;Sagunto;-1330753.11177619;4615198.80884794;Tarraconensis
201;Solothurn;-520328.915902694;5317020.15359939;Germania Superior
202;Olonzac;-983399.056407747;4957276.15388793;Narbonensis
203;Doncaster;-954400.225932827;6162237.29450176;Britannia
204;Newstead;-977451.949243476;6113705.91935717;Britannia
205;Corinth;671995.538885526;4201039.98796946;Achaia
206;Fos-Sur-Mer;-799972.470426201;4936462.19883311;Narbonensis
207;Metz;-579922.034368355;5547021.50981508;Belgica
208;Badalona;-1069736.07970487;4761771.56669318;Tarraconensis
