id;name;x;y;province
201;Besançon;-621341.614321987;5340696.87928332;Germania Superior
202;Messina;23988.6867037896;4240132.42179129;Sicilia
203;Belesta;-1058248.81193571;4929931.22479625;Narbonensis
204;Trieste;-63411.3652854647;5082518.82747811;Italia
205;Hvar;152598.492035836;4785318.05552004;Dalmatia
206;Musselburgh;-984974.702031385;6463151.13379174;Caledonia
207;Baie de la Ciotat;-748591.60850789;4895185.31162863;Narbonensis
208;Beit She'an;1867950.54712278;3689763.74932957;Iudaea
209;Tivissa;-1207771.9373797;4746283.53730683;Tarraconensis
210;Annecy;-653092.195004184;5192323.61841003;Narbonensis
211;Vertault;-741930.686404839;5442708.63439037;Germania Superior
212;Fishbourne;-1026850.05284645;5861498.96172383;Britannia
213;Ostiglia;-276722.028387053;5037937.46879345;Italia
214;Yverdon;-595776.135074637;5281610.68344417;Germania Superior
215;Angers;-1119515.66854045;5487450.16409711;Lugdunensis
216;Caersws;-1143533.7461897;6104126.71403034;Britannia
217;Servian;-933606.232668669;4963017.96233261;Narbonensis
218;Winchester;-1056206.19754392;5892734.20401508;Britannia
219;Hedelbergen;-364381.091630155;5635819.07704197;Germania Superior
220;Villajoyosa;-1359983.54611425;4482405.98865067;Tarraconensis
221;Lixus;-1997235.51806087;4251471.20648533;Mauretania Tingitana
222;Puerto de Mazarrón;-1476887.21110004;4398670.71151903;Tarraconensis
223;Corbridge;-959109.411125592;6336532.95218347;Britannia
224;La Buisse;-704557.7932343;5136571.53163594;Narbonensis
225;Canet;-913889.758055492;4979337.45412305;Narbonensis
226;Edinburgh;-993335.657009426;6468286.27266607;Caledonia
227;Leicester;-987269.022203111;6064838.38817018;Britannia
228;Canosa;86392.9070640808;4574557.96661678;Italia
229;Modena;-299351.005425117;4995628.19685592;Italia
230;Coulounieix-Chamiers;-1095810.33482482;5204782.32351966;Aquitania
231;Dalswinton;-1053825.80265992;6393156.00011605;Caledonia
232;Ilchester;-1150134.75997591;5922586.44830289;Britannia
233;Aoste;-700076.592775839;5164660.88757553;Narbonensis
234;Islas de Tremiti;45265.3647459372;4677390.80755053;Italia
235;Bonn;-479238.601452449;5713104.2009449;Germania Inferior
236;Calella;-1030023.92740688;4772949.09208992;Tarraconensis
237;Neuss;-497865.34063675;5769910.80224286;Germania Inferior
238;Shkodër;376983.626320475;4658340.3501106;Dalmatia
239;Bordeaux;-1204986.12063423;5197169.18136286;Aquitania
240;Nissan-Lez-Ensérune;-951041.143977837;4950815.2377836;Narbonensis
241;Classe;-217879.454111813;4957852.65643308;Italia
242;Lebrija;-1934546.10281987;4447129.00098284;Baetica
243;Île du Planier;-782119.506669152;4905246.01121837;Narbonensis
244;Fort Vechten;-580992.321497448;5887227.90650933;Germania Inferior
245;Cambrai;-764616.036910248;5711154.06566024;Belgica
246;Civitavecchia;-261053.271719425;4702030.18803505;Italia
247;Elche;-1408781.55045439;4465341.98698368;Tarraconensis
248;Tróia;-2012503.05042723;4870850.7794243;Lusitania
249;Ardèche (Alba);-805456.529881032;5033151.03778156;Narbonensis
250;Xanten;-503646.03044109;5823979.8486064;Germania Inferior
251;Sidi Ali ben ahmed (Thamusida);-2062732.64243637;4162773.42140969;Mauretania Tingitana
252;Provincia di Parma;-364913.273018378;5007939.29605297;Italia
253;Koenigshoffen;-479594.550916086;5466862.82371012;Germania Superior
254;Cosa;-126747.516295848;5132485.96656627;Italia
255;Port de la Selva;-967933.382900799;4843381.39650221;Tarraconensis
256;Witham;-897411.487361272;5935779.11780248;Britannia
257;Fürstenberg;-502461.659455921;5822701.43881944;Germania Inferior
258;Caldes de Montbui;-1071468.83523448;4783511.1801006;Tarraconensis
259;Verdun-sur-le-Doubs;-715890.262411627;5319102.72167087;Lugdunensis
