id;name;x;y;province
159;Mâcon;-744172.146004683;5257593.09609404;Lugdunensis
160;Ordona;49341.6325873781;4587910.8194478;Italia
161;Wien;155753.912491715;5348916.8497442;Pannonia Superior
162;Cremona;-362542.950614623;5054759.90976443;Italia
163;Watercrook;-1029688.03104876;6282621.22662161;Britannia
164;Caerwent;-1133676.47494271;5990168.43000047;Britannia
165;Amiens;-838509.28860994;5697360.82226357;Belgica
166;Bregenz;-345522.867144488;5322218.32288708;Raetia
167;Magdalensberg;38374.9991573839;5183976.92109374;Noricum
168;Exeter;-1220579.71815816;5909605.90316364;Britannia
169;Kempten;-300643.27273879;5342086.36235854;Raetia
170;Tanis (San el-Hagar);1541153.25507356;3478030.99455183;Aegyptus
171;Villetelle;-858751.208612973;4982309.47064705;Narbonensis
172;Fliessem;-533682.522463351;5642206.27683315;Belgica
173;Vertault;-741930.686404839;5442708.63439037;Germania Superior
174;Fornovo di Taro;-363592.750548813;5007760.27664782;Italia
175;Canet;-913889.758055492;4979337.45412305;Narbonensis
176;Lisboa;-2141951.69324276;4743563.92094397;Lusitania
177;Oderzo;-161636.089356029;5104955.34449377;Italia
178;Pomas;-1023431.00912832;4946421.89935039;Narbonensis
179;Sleaford;-926819.171047682;6087532.3099268;Britannia
180;Vendeuil-Caply;-846336.475616607;5666434.30497958;Belgica
181;Bliesbrück;-506759.197045804;5532866.79932232;Belgica
182;Souk-el-Arba;-2004119.37006333;4189624.25054148;Mauretania Tingitana
183;Petronell (Carnuntum);191156.470569917;5337601.5933575;Pannonia Superior
184;Tarragona;-1162042.95567574;4744181.52622575;Tarraconensis
185;Selçuk (Ephesus);1060183.45576233;4219310.7546189;Asia
186;Aldborough;-951822.032502968;6227503.90010229;Britannia
187;Chur;-374169.140891316;5253524.5141365;Raetia
188;Bonn;-479238.601452449;5713104.2009449;Germania Inferior
189;Riudoms;-1178223.64807921;4750625.73706123;Tarraconensis
190;Agen;-1128274.23127231;5100334.89927791;Aquitania
191;Florensac;-921210.35308014;4955167.75173721;Narbonensis
192;Butzbach;-374169.960931298;5659880.3504563;Germania Superior
193;Islas de Tremiti;45265.3647459372;4677390.80755053;Italia
194;Günzburg;-292240.014262625;5422776.99884679;Raetia
195;Hérault;-925548.690444053;4944223.99529104;Narbonensis
196;Saint-Paul-Trois-Chateaux;-794123.162273022;5040575.2178399;Narbonensis
197;Ciudadela;-968204.441333387;4575292.04320975;Tarraconensis
198;Fourvière;-758074.407741731;5196418.37315334;Lugdunensis
199;Sardegna;-575458.086551936;4490908.56801042;Corsica et Sardinia
200;Denia;-1321124.4854771;4512690.98838483;Tarraconensis
201;Ribchester;-1035695.10426702;6221994.55355308;Britannia
202;Fort Vechten;-580992.321497448;5887227.90650933;Germania Inferior
203;Basel;-509198.444748056;5355256.04093949;Germania Superior
204;Alexandrie;940063.854458928;3498029.46342267;Cyrenaica
205;Vilasar de Mar;-1055938.2230583;4765352.85531867;Tarraconensis
206;York;-936866.068451985;6208531.92561426;Britannia
207;Bad Cannstatt;-362525.889967835;5472909.37141251;Germania Superior
208;Titelberg;-593230.38246345;5598614.42986598;Belgica
209;Edinburgh;-993335.657009426;6468286.27266607;Caledonia
210;Bishopbriggs;-1057437.86137986;6486603.90365619;Caledonia
211;Worms;-411571.708575673;5574996.93876985;Germania Superior
212;Trier;-532611.407177068;5611686.49801511;Belgica
213;Saint-Paul-les-Fonts;-812207.553546803;5013582.1455111;Narbonensis
214;Walheim;-58689.7407150895;5688277.6187802;
215;Cap de Creus;-958638.936518974;4839186.48105521;Tarraconensis
216;Pozzuolo del Friuli;-104382.305575559;5122383.96680923;Italia
217;Agrigento;-159127.186003847;4156005.256392;Sicilia
218;Azé;-754407.963286766;5273540.52705414;Lugdunensis
219;Croy;-1043368.48415957;6487283.0150624;Caledonia
220;Campania;-54818.8412733999;4546718.29605823;Italia
221;Nissan-Lez-Ensérune;-951041.143977837;4950815.2377836;Narbonensis
222;Lattes;-881313.728297011;4968074.68669123;Narbonensis
223;South Shields;-921366.793713559;6326136.95249025;Britannia
224;Wroxeter;-1086155.86087837;6102062.58848629;Britannia
225;Saint-Mitre-les-Remparts;-793836.219059374;4937135.18303088;Narbonensis
226;Newstead;-977451.949243476;6113705.91935717;Britannia
227;Entella;-430499.857880509;4973698.35932473;Italia
228;Etaples;-867047.267646626;5777458.78074488;Belgica
229;Atur;-1091571.70384339;5202246.94868394;Aquitania
230;Sant Quirze del Vallès;-1081267.11198927;4774321.82974491;Tarraconensis
231;Calella;-1030023.92740688;4772949.09208992;Tarraconensis
232;Canet de Mar;-1037956.67216102;4771483.89281624;Tarraconensis
233;La Unión;-1481867.78922385;4403768.42015064;Tarraconensis
234;Mainz-Kastel;-409856.374447268;5617683.65509329;Germania Superior
235;Lilibeo;-256339.105866747;4218495.67337251;Sicilia
236;Tutbury;-1015803.00893567;6100275.84186947;Britannia
237;Îles Perduto;-478871.941066877;4646338.52438103;Corsica et Sardinia
238;Saintes;-1180767.57650641;5298520.28691293;Aquitania
239;Fier;380345.554208051;4508270.24082316;Macedonia
240;Shropshire, County of;-1092739.56495175;6104360.90503786;Britannia
241;Viladecans;-1092193.73174938;4751562.23528018;Tarraconensis
242;Oberflorstadt;-361864.404548476;5645534.02118244;Germania Superior
243;Birrens;-1030500.64864933;6374268.34324808;Caledonia
244;Alzey;-426921.052879931;5590620.22851237;Germania Superior
245;Thonon-les-Bains;-617078.665554533;5225014.82454386;Narbonensis
246;Caerhûn;-1142035.38801882;6189248.68389295;Britannia
247;Hanau;-362561.32691464;5623858.11652286;Germania Superior
248;Elche;-1408781.55045439;4465341.98698368;Tarraconensis
249;Dieburg;-371731.327541462;5598432.18861759;Germania Superior
250;Castelfranco Emilia;-289465.402296066;4988761.08852515;Italia
251;Almazora;-1305965.85446133;4640496.9020338;Tarraconensis
252;Este;-233891.435165354;5051575.64682896;Italia
253;Saint-Ulrich;-542610.426431318;5365287.31030252;Germania Superior
254;Minorca;-954618.972117151;4568736.00873962;Tarraconensis
255;Alise-Sainte-Reine;-741107.494160932;5398662.61806195;Lugdunensis
256;Vercelli;-486147.275834107;5095747.11980986;Italia
257;Llafranc;-979348.433547504;4794178.15893371;Tarraconensis
258;Firenze;-277323.909969216;4898997.62491249;Italia
259;Friedberg;49114.082807828;6267137.99003515;
260;Santa Eulàlia de Ronçana;-1066168.95754618;4785199.18733688;Tarraconensis
261;Sainte-Colombe;-759822.990671813;5169539.62430012;Narbonensis
262;Belesta;-1058248.81193571;4929931.22479625;Narbonensis
263;Aspe;-1411973.16425464;4475703.90064631;Tarraconensis
264;Rivesaltes;-984674.336095553;4897531.36459068;Narbonensis
265;Pula;-540365.053431677;4387016.36972094;Corsica et Sardinia
266;Saint-Romain-en-Gal;-759714.286352101;5170310.04524175;Narbonensis
