idreq;amphId;amphTypeName;fplmunName;fplcouName;lat;lon;transcription;family
67;10130;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"IIIENNIORIVLSAE";"ENNIORVMIVLIORVM"
68;10131;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"FAVSTINI"
69;10132;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"FSFAFL";"FSFAFL"
70;10133;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"FSFA..";"FSFA..."
71;10134;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"HOPL";"HOPL"
72;10135;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LANS";"LANNISEC"
73;10136;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LAS"
74;10137;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCFPC";"LCFPC"
75;10138;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSPC";"LCS"
76;10139;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSOL";"LCSOL"
77;1014;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITAL";"LIDFIT"
78;10140;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSOL";"LCSOL"
79;10141;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSOL";"LCSOL"
80;10142;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSOL";"LCSOL"
81;10143;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LCSOL";"LCSOL"
82;10144;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LFCNOV? & LFCVO…";"LFC"
83;10145;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LFO";"LFO"
84;10146;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LFO";"LFO"
85;10147;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LFO";"LFO"
86;10148;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LIBERALIS";"LIBERALINI"
87;10149;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LIT";"LIT"
88;1015;"Dressel 20";"Roma";"Italy";41.8851022907896891;12.4607464157529453;"LIDFITA";"LIDFIT"
89;10150;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LIVNIMELISSI";"LIVNIMELISSI"
90;10151;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LIVNIMELISSI";"LIVNIMELISSI"
91;10152;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"IIIVNMELISSIETMELISSE";"LIVNIMELISSI"
92;10153;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LMA";"LMA"
93;10154;"Dressel 20";"Golfe de Fos";"France";43.3835430000000031;4.94285100000000011;"LMAFRI";"LMAFRI"
